Country,CIT_rate_2019,CIT_rate_2020_OLD,CIT_rate_2020,inflation,tax_depreciation_building,tax_depreciation_equipment,inventory_accounting,inv_acc_flag,asset_tax,capital_input_sale_tax,capital_transfer_tax,land_transfer_tax,financial_transfer_tax_flag,dividend_payout_ratio,dividend_distribution_tax,domestic_tax_rate_dividend,international_interest_rate,debt_asset_ratio,domestic_pit_interest,domestic_pit_capital_gain,economic_depreciation_equipment,economic_depreciation_building,investment_allowance_equipment,investment_allowance_building,property_tax,mining_royalty,capital_weight_equipment,capital_weight_building,capital_weight_equipment_old,capital_weight_building_old,capital_weight_land,capital_weight_inventory,t_rho,r_d,rho_n,r_f,r_n,Z_E,r_g_E,METR_E,Z_B,r_g_B,METR_B,r_g_L,METR_L,p_FIFO,r_g_I,METR_I,METR_Overall
Slovenia,0.19,0.2,0.19,0.01,0.04,0.22,Optional,0,0.0,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.01848,0.01,0.9507561857889565,0.011003666445033894,0.09121200193112562,0.6839945280437756,0.015779804428231237,0.3662785844094962,0.010469135802469135,0.04481132075471693,0.5,0.011641975308641974,0.14103923647932118,0.19023597162333902
South Africa,0.28,0.28,0.28,0.05,0.05,0.25,Optional,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.060000000000000005,0.060000000000000005,0.05328000000000001,0.010000000000000009,0.8797748053246849,0.013251744813469912,0.24538238996004694,0.48412083656080557,0.02199380325329202,0.5453264774248076,0.004555555555555563,-1.1951219512195108,0.5,0.014277777777777787,0.29961089494163406,0.35336226144736077
Spain,0.25,0.3,0.25,0.01,0.02,0.29,Optional,0,0.0,0.0,0.01,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.018000000000000002,0.01,0.9612372484896415,0.010816759943086063,0.07550874267188719,0.5263157894736842,0.023473684210526327,0.5739910313901347,0.01066666666666667,0.06250000000000025,0.5,0.012333333333333335,0.18918918918918928,0.2549623666104563
Sweden,0.21,0.21,0.214,0.01,0.03,0.2,FIFO,1,0.0,0.0,0.04,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.018288,0.01,0.9473942617571239,0.011414469589524218,0.1239189940829459,0.621272365805169,0.018422882552016143,0.45719677842132084,0.010544529262086511,0.05164092664092634,0.5,0.011905852417302796,0.1600769395169906,0.24389899644476087
Switzerland,0.18,0.21,0.1484,0.0,0.06,0.32,LIFO,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.01,0.01,0.0094064,0.01,0.9809066240749643,0.010136412443791626,0.013457665081019457,0.8644735932133061,0.011754067124253587,0.14923065401202346,0.01104556129638328,0.09465895560469474,0.0,0.01104556129638328,0.09465895560469474,0.062335941096180895
Tanzania,0.3,0.3,0.3,0.05,0.05,0.25,Optional,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.060000000000000005,0.060000000000000005,0.05280000000000001,0.010000000000000009,0.8807520149294771,0.013675416238431687,0.2687608314328851,0.48638132295719844,0.023227348526959443,0.5694730292442445,0.004000000000000006,-1.4999999999999984,0.5,0.01471428571428572,0.32038834951456274,0.37701722264497445
Thailand,0.2,0.3,0.2,0.01,0.05,0.21,Optional,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.0184,0.01,0.9491129026666244,0.011178435514402285,0.10542043319782896,0.7309941520467836,0.01501754385964911,0.3341121495327097,0.010499999999999999,0.0476190476190475,0.5,0.011749999999999998,0.1489361702127658,0.18774945107838603
Trinidad and Tobago,0.3,0.25,0.3,0.03,0.1,0.25,Optional,0,0.0,0.0,0.07,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.04,0.04,0.0352,0.010000000000000002,0.9178339883549197,0.012778053874009099,0.21740821422421236,0.7396449704142012,0.015822485207100598,0.367988032909499,0.007428571428571434,-0.3461538461538455,0.5,0.013857142857142863,0.2783505154639177,0.2716169489509156
Tunisia,0.26,0.3,0.25,0.05,0.05,0.2,Optional,0,0.0,0.0,0.05,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.060000000000000005,0.060000000000000005,0.054000000000000006,0.010000000000000009,0.8564040096019675,0.014243180648392972,0.29790962799251675,0.4807692307692307,0.020269230769230775,0.5066413662239087,0.005333333333333338,-0.8749999999999999,0.5,0.013666666666666672,0.26829268292682895,0.3730530537558178
Turkey,0.2,0.22,0.22,0.1,0.13,0.49,Optional,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.11,0.11,0.10032,0.010000000000000009,0.8657597514721846,0.008283269224976186,-0.20725280422462158,0.564432094477249,0.01141603655115292,0.12403924468951558,0.0004102564102564113,-23.374999999999957,0.5,0.014512820512820514,0.31095406360423977,-0.0879876666155322
Uganda,0.3,0.3,0.3,0.05,0.05,0.3,Optional,0,0.0,0.0,0.02,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.060000000000000005,0.060000000000000005,0.05280000000000001,0.010000000000000009,0.8955053786033224,0.012329909471377049,0.1889640371476975,0.48638132295719844,0.023227348526959443,0.5694730292442445,0.004000000000000006,-1.4999999999999984,0.5,0.01471428571428572,0.32038834951456274,0.3259472743024544
Ukraine,0.18,0.25,0.18,0.22,0.08,0.37,Optional,0,0.0,0.0,0.01,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.23,0.23,0.21344000000000002,0.010000000000000037,0.7058483551627188,0.006576095015396799,-0.5206592934844693,0.27262813522355506,0.0067626140383541394,-0.4787181322614414,-0.007999999999999978,-2.2500000000000084,0.5,0.016146341463414652,0.38066465256797427,-0.5055604754441791
United Kingdom,0.17,0.28,0.19,0.01,0.02,0.18,FIFO,1,0.0,0.0,0.05,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.01848,0.01,0.942138261340445,0.011445321241783324,0.126280530816986,0.5197505197505198,0.01957388157388157,0.48911512710164184,0.010469135802469135,0.04481132075471693,0.5,0.011641975308641974,0.14103923647932118,0.2569009854794621
United States,0.26,0.39,0.27,0.02,0.04,0.55,Optional,0,0.0,0.03,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.02676,0.009999999999999998,0.963536823619838,0.016273807028757248,0.385515633660328,0.5991611743559018,0.02443835386623111,0.5908071364079073,0.009260273972602737,-0.07988165680473384,0.5,0.012958904109589041,0.22832980972515868,0.4594205746494565
Uruguay,0.25,0.25,0.25,0.08,0.03,0.1,LIFO,0,0.0,0.0,0.04,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.09,0.09,0.08099999999999999,0.009999999999999995,0.6679920739539631,0.024351224131904575,0.5893430266243511,0.2702702702702703,0.023135135135135126,0.5677570093457944,0.001333333333333316,-6.500000000000093,0.0,0.001333333333333316,-6.500000000000093,0.5815720604040707
Uzbekistan,0.12,0.16,0.075,0.1,0.05,0.19,Optional,0,0.05,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.11,0.11,0.10670000000000002,0.010000000000000009,0.7363273198708004,0.011332800252756542,0.11760555405821685,0.3190810465858328,0.012038772659066221,0.1693505406907774,0.007243243243243255,-0.38059701492537207,0.5,0.01129729729729731,0.11483253588516765,0.13623374924593865
Venezuela,0.35,0.34,0.34,6.09,0.07,0.24,LIFO,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,6.1,6.1,5.2703999999999995,0.009999999999999787,0.04551564839239934,-1.1193427949266639,-1.0089338137032946,0.013107632387087112,-1.1905279822417123,-1.0083996345732003,-1.2418181818181824,-1.00805270863836,0.0,-1.2418181818181824,-1.00805270863836,-1.0087415092164607
Vietnam,0.2,0.25,0.2,0.03,0.03,0.25,Optional,0,0.0,0.0,0.01,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.04,0.04,0.0368,0.010000000000000002,0.9143594638700651,0.011441717058242457,0.1260053059259896,0.4491017964071856,0.020131736526946095,0.5032718619869121,0.0085,-0.17647058823529427,0.5,0.012249999999999999,0.18367346938775486,0.26182126610792167
Zambia,0.35,0.35,0.35,0.1,0.05,0.47,Optional,0,0.0,0.0,0.05,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.11,0.11,0.0946,0.010000000000000009,0.8692253997624797,0.009007337112321268,-0.11020603262654212,0.3457814661134163,0.024402170443664217,0.5902003871710351,-0.008307692307692311,-2.203703703703704,0.5,0.01861538461538461,0.46280991735537125,0.14194027850058566
